"region","reg","regov","nofedgov","edu","norepgov","elect","repower","sharia","biz","equota","privrep","privfed","tension","disrep","age","income","male","urban","nocitizen","means","native","fedrite","fedimpact","fedcorr","muslim","ritual","quran","relstate","imptnce","reledu","sharia2","incomesq","Total.victims","Unemployment","av.salary"
1,"n ossetia",2.152380952,3,6,3,1.523809524,4,1,4,1,3,3,2,3,2,4,1,1,3,1,0,4,3,5,0,4,4,4,2,5,1,16,77,3.1,9342.6
1,"n ossetia",4,4,3,4,2,1,1,4,0,1,1,2,4,5,2,1,1,3,0,0,4,4,5,0,1,4,1,1,1,1,4,77,3.1,9342.6
1,"n ossetia",3,2.526595745,6,3,1.75,2,1,3,1,3,2,2,3,2,4,0,1,1,1,1,2,3,2,0,2,5,1,2,1,1,16,77,3.1,9342.6
1,"n ossetia",3,3,5,3.148325359,2.502392344,2.04784689,1,3,1,3.014354067,3,1.148325359,4,1,2,0,1,1,0,0,3,1.368421053,3,0,3,4,1,3,1,1,4,77,3.1,9342.6
1,"n ossetia",2,1.86,6,3.13,2,2.26,1.17,4,0,3,3.44,3,4,2,4,0,1,2,0,1,3,2,3,0,3,4,3,2.39,1,1,16,77,3.1,9342.6
1,"n ossetia",1.15920398,2.15920398,6,3,2,1.338308458,1,4,0,2,2,2,3,2,3,0,1,2,0,1,4,3,4,0,9,4,2,1.995024876,4,1,9,77,3.1,9342.6
1,"n ossetia",4,3,6,2.473053892,4,4,1,1,0.323353293,1,1,1.850299401,4,6,2,0,1,1.149700599,0,1,2,2,1,0,4,5,2,3,3,1,4,77,3.1,9342.6
1,"n ossetia",2,3,6,2,3,1,2,4,0,3,3,2,3,1,4,0,1,1,1,1,4,3,4,0,2,4,2,3,4,2,16,77,3.1,9342.6
1,"n ossetia",2.645833333,3,4,2.59375,2,4,1.229166667,4,1,4,2,1.40625,3,3,2,0,0,1,0.177083333,1,2,2,2,0,3,4,1,2.59375,1.177083333,1,4,77,3.1,9342.6
1,"n ossetia",3.417582418,2.769230769,4,3.241758242,2.406593407,1.791208791,1,2.824175824,1,1,1,2.21978022,3.450549451,6,3,0,0,1.692307692,0,1,2.505494505,1.78021978,2,0,1,5,9,2.802197802,2.758241758,1,9,77,3.1,9342.6
1,"n ossetia",2,3,4,2,3,4,2,4,1,2,3,1.685185185,4,4,3,1,0,1,0,1,2,2,4,0,3,5,1,2.62962963,1,2,9,77,3.1,9342.6
1,"n ossetia",3,3,5,3,2,3,1,2,1,3,1,3,4,2,3,1,0,1,0,1,2,1,1,0,3,3,3,3,3,1,9,77,3.1,9342.6
1,"n ossetia",1,3,6,2,4,3,1,2,1,1,2,2,1,6,3,1,0,1,0,1,3,2,5,0,4,5,1,4,2.030927835,1,9,77,3.1,9342.6
1,"n ossetia",2,3,6,2,4,3,1,2,1,2,2,2,2,4,4,0,0,1,0,1,3,2,1,0,2,5,1,1,2.211111111,1,16,77,3.1,9342.6
1,"n ossetia",2.482993197,2,6,1.829931973,4,2.666666667,1,2.591836735,0.74829932,1,1,1,4,6,4,0,0,1,0,1,3,2,3,0,3,4,9,3.204081633,1,1,16,77,3.1,9342.6
1,"n ossetia",2,2,4,2.706349206,1,4,1,3,1,2,3,2,2,1,3,1,0,1,1,0,4,4,2,0,9,4.492063492,1,2.428571429,1,1,9,77,3.1,9342.6
1,"n ossetia",2.438502674,3,4,3,2,3,2,3,0.679144385,2,2,1.695187166,4,6,3,0,0,1,0,1,2,2,3.267379679,0,3,3,3,3,2,2,9,77,3.1,9342.6
1,"n ossetia",3,1,3,2,3,3,1,4,0.868131868,2,4,1,3,4,3,1,0,1,0,1,3,3,3,0,9,4.131868132,3,3.208791209,2,1,9,77,3.1,9342.6
1,"n ossetia",3,4,6,4,2.503496503,1,1,4,0.828671329,1,1,3,4,3,2,1,1,4,0,0,2.895104895,3,5,0,2,4,4,1,3,1,4,77,3.1,9342.6
1,"n ossetia",2.5,2.321428571,6,2.6875,3,1,1,4,0.258928571,4,4,1,4,5,1,1,0,1,0,1,4,4,5,0,4,3,1,3,5,1,1,77,3.1,9342.6
1,"n ossetia",3,3,6,3,2,4,1,2,1,3,3,1,4,4,3,0,0,1,0,0,2,1,5,0,3,4,2,3,1,1,9,77,3.1,9342.6
1,"n ossetia",1.632,1.848,3,1.848,2.6,4,1,3.208,1,2,2,2,3.056,6,3,1,0,1,0.336,1,4,3,5,0,9,4.152,3,3.272,4,1,9,77,3.1,9342.6
1,"n ossetia",2.666666667,2.512820513,6,2.905982906,3,1,1,4,0.316239316,4,4,2.034188034,4,2,1,1,0,1,0,1,4,4,5,0,4,3,1,3,5,1,1,77,3.1,9342.6
1,"n ossetia",2,2,6,1,1,3,4,2,1,3,2.95212766,2,1,2,2.813829787,0,0,1,0,0,3,3,4,0,9,3,4,4,5,4,7.917638302,77,3.1,9342.6
1,"n ossetia",2,2.755434783,4,3,3,3,1,3,1,1,1.717391304,2,3,3,3,1,0,1,0,0,3.369565217,1,2,0,1,5,1,2,1,1,9,77,3.1,9342.6
1,"n ossetia",1,2,4,4,1,1.50295858,1.118343195,3,0.349112426,3,3,2,2.650887574,2,4,0,0,2,0.195266272,0,3,2.662721893,2,0,2,4,2,2,3,1,16,77,3.1,9342.6
1,"n ossetia",3,3,4,3,3,1.936,1.52,4,0.36,3,3,1,3,2,4,1,0,1,1,1,4,1,4,0,2,4,1,2,3.344,2,16,77,3.1,9342.6
1,"n ossetia",1,3,6,1,2.319672131,2.647540984,1,4,0.778688525,3.049180328,2,2,2,1,2.696721311,0,0,1,0.147540984,1,1,2.139344262,3,0,4,4,2,4,2.827868852,1,7.272305965,77,3.1,9342.6
1,"n ossetia",3,3,6,3,2,4,1,2,1,3,3,1,4,3,3,1,0,1,0,0,2,1,5,0,3,4,2,3,1,1,9,77,3.1,9342.6
1,"n ossetia",3,2,5,3,4,2,1.392156863,3,0,3,3,2.137254902,3,1,4,0,0,2,0.392156863,1,3,2,5,0,2,4.166666667,2,2,3,1,16,77,3.1,9342.6
1,"n ossetia",4,2,6,2.581632653,4,1,2,3,0.112244898,3,3,1.887755102,2,2,1,0,0,1.397959184,1,1,3,3,5,0,3,4,2,2,4,2,1,77,3.1,9342.6
1,"n ossetia",2.396694215,2.619834711,2,2.41322314,2,3,1.537190083,1,0.628099174,1,2.165289256,2,3,4,3,0,0,1,0,1,2.512396694,1,5,0,9,2,2,3,1.661157025,2,9,77,3.1,9342.6
1,"n ossetia",2.809859155,2,6,3.091549296,4,2.091549296,1,1,0.830985915,2.626760563,2.401408451,1.676056338,3,3,3,1,0,3,0.169014085,1,4,4,5,0,3,3,2,3,1,1,9,77,3.1,9342.6
1,"n ossetia",2.518987342,2.17721519,4,2.17721519,3,4,2,4,1,2,2,2,3,4,3,1,0,2,0,1,3,3,5,0,3,4.341772152,9,3.607594937,1,2,9,77,3.1,9342.6
1,"n ossetia",2,1.967032967,3,1.967032967,3,3.78021978,1,4,1,2,2.857142857,2,3,4,4,0,0,1,0,1,3.241758242,1,2,0,2,4,9,3.186813187,1,1,16,77,3.1,9342.6
1,"n ossetia",3,2,3,3,4,2,1.2,3,0,3,3,1,3,2,4,0,0,2,0,1,3,2,5,0,2,4,2,2,2,1,16,77,3.1,9342.6
1,"n ossetia",2.84375,2.770833333,4,3.78125,2.114583333,1,1,4,0.760416667,4,4,1,4,1,3,1,0,1.604166667,0,1,4,4,5,0,4,3,9,3,5,1,9,77,3.1,9342.6
1,"n ossetia",2.848837209,1,6,2.226744186,2.575581395,4,1,3.970930233,0.372093023,3,2.505813953,1.877906977,2.726744186,1,2.994186047,0,0,1,0.122093023,1,2.680232558,1,5,0,3,4,9,4,4,1,8.965149879,77,3.1,9342.6
1,"n ossetia",2,2.068493151,3,2.219178082,3,3.150684932,1,4,1,2,2.589041096,2,3,2,4,0,0,1,0,1,2.876712329,1,2,0,3,5,9,3.164383562,1,1,16,77,3.1,9342.6
1,"n ossetia",3,2.908256881,4,3,3,1,1,4,0,2.027522936,2,2,4,4,3,0,0,1,0,1,2,2,3,0,3,5,2,3,1,1,9,77,3.1,9342.6
1,"n ossetia",3.03649635,3,4,3,2.671532847,4,1,3,0.890510949,2,2,2,3,3,3,0,0,2,0,1,3,2,2,0,2,5,3,3,2,1,9,77,3.1,9342.6
1,"n ossetia",2,2.121495327,4,3,4,2.53271028,2,3,1,2,2,1,3,3,3,1,0,1,0.121495327,0,3,2,2,0,2,4,3,2,2,2,9,77,3.1,9342.6
1,"n ossetia",3,2,6,2,2,4,2,4,1,3,3,2,4,4,3,0,0,1,0,1,2,1,2,0,2,5,3,2,1,2,9,77,3.1,9342.6
1,"n ossetia",3,2,6,2.614035088,4,3,1,4,1,1,2.175438596,1,3,3,4,1,0,1,0.201754386,1,2,2,2,0,3,4,3,3,2.763157895,1,16,77,3.1,9342.6
1,"n ossetia",3,3,5,3,3,3,1,4,1,2,2.13,1,3,2,3,1,0,1,0.14,1,2,2,2,0,2,5,9,3,1.59,1,9,77,3.1,9342.6
1,"n ossetia",3,2,6,3,4,3,1,2,0.340425532,1,1,1,3,2,4,0,0,2,0,1,2,2,2,0,2,5,9,3,2.5,1,16,77,3.1,9342.6
1,"n ossetia",4,2.795275591,4,2.385826772,1,3.196850394,1,4,1,2.393700787,2,2,4,2,2,0,0,1,0,1,2,1,5,0,2,5,1,3,3,1,4,77,3.1,9342.6
1,"n ossetia",3,2.047169811,6,2.349056604,3,3,1,2,1,4,1,1.849056604,3,6,4,1,0,2,0,1,2,2,2,0,2,5,3,3,1.70754717,1,16,77,3.1,9342.6
